,FilePath,%NaN,NuberOfFrozen_Signal,TimestampDrops,MaxTimestampDrops,JumpsInVelocity
136,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220621\scp\vut10 ufo45\TRIAL_220621_134716_00804_FBl_26_AUTOSAVE.trial,7.12410948631421,6,163,50.0,0.0
137,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220621\scp\vut15 ufo30\TRIAL_220621_124409_00758_FBl_26_AUTOSAVE.trial,6.3704286276051905,23,139,40.0,0.0
138,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220621\scp\vut15 ufo30\TRIAL_220621_130154_00770_FBl_26_AUTOSAVE.trial,10.851598993891484,17,265,50.0,0.0
139,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220621\scp\vut15 ufo30\TRIAL_220621_131623_00780_FBl_26_AUTOSAVE.trial,12.976799056232796,0,258,50.0,0.0
140,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220621\scp\vut15 ufo45\TRIAL_220621_135040_00806_FBl_26_AUTOSAVE.trial,9.876079609463012,16,218,50.0,0.0
141,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220621\scp\vut15 ufo45\TRIAL_220621_135224_00808_FBl_26_AUTOSAVE.trial,28.16372512204281,3,446,100.0,0.0
142,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220621\scp\vut15 ufo45\TRIAL_220621_135429_00811_FBl_26_AUTOSAVE.trial,13.819001126549004,26,310,50.0,0.0
143,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220621\scp\vut15 ufo45\TRIAL_220621_135625_00813_FBl_26_AUTOSAVE.trial,9.725873075478782,10,219,50.0,0.0
144,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220621\scp\vut20 ufo30\TRIAL_220621_132209_00782_FBl_26_AUTOSAVE.trial,2.534998108210367,7,65,30.0,0.0
145,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220621\scp\vut20 ufo30\TRIAL_220621_132529_00786_FBl_26_AUTOSAVE.trial,6.129398410896708,0,141,50.0,0.0
146,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220621\scp\vut20 ufo30\TRIAL_220621_132708_00788_FBl_26_AUTOSAVE.trial,2.1196063588190763,46,46,60.0,0.0
147,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220621\scp\vut20 ufo45\TRIAL_220621_135949_00815_FBl_26_AUTOSAVE.trial,8.522311631309437,27,207,40.0,0.0
148,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220621\scp\vut20 ufo45\TRIAL_220621_140536_00818_FBl_26_AUTOSAVE.trial,13.240673006583762,0,275,50.0,0.0
149,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220621\scp\vut20 ufo45\TRIAL_220621_140718_00820_FBl_26_AUTOSAVE.trial,3.2553035844915876,4,82,30.0,0.0
150,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220622\scp left\vut10 ufo 60\TRIAL_220622_095117_00827_FBl_26_AUTOSAVE.trial,9.614941203596956,0,339,70.0,0.0
151,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220622\scp left\vut10 ufo 60\TRIAL_220622_095454_00830_FBl_26_AUTOSAVE.trial,9.568826377680423,30,254,200.0,0.0
152,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220622\scp left\vut10 ufo 60\TRIAL_220622_095931_00834_FBl_26_AUTOSAVE.trial,14.987318422872953,0,498,70.0,0.0
153,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220622\scp left\vut15 ufo60\TRIAL_220622_100223_00837_FBl_26_AUTOSAVE.trial,10.155490767735666,54,328,70.0,0.0
154,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220622\scp left\vut15 ufo60\TRIAL_220622_100443_00839_FBl_26_AUTOSAVE.trial,6.122448979591836,8,214,40.0,0.0
155,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220622\scp left\vut15 ufo60\TRIAL_220622_100703_00841_FBl_26_AUTOSAVE.trial,13.411078717201166,14,336,110.0,0.0
156,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220622\scp left\vut20 ufo60\TRIAL_220622_101521_00843_FBl_26_AUTOSAVE.trial,3.2452613440551406,0,99,50.0,0.0
157,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220622\scp left\vut20 ufo60\TRIAL_220622_102820_00849_FBl_26_AUTOSAVE.trial,25.539744847890088,12,798,80.0,0.0
158,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220622\scp left\vut20 ufo60\TRIAL_220622_103113_00852_FBl_26_AUTOSAVE.trial,16.04514229636899,13,504,70.0,0.0
159,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220622\scp right\vut10 ufo30\TRIAL_220622_113836_00896_FBl_26_AUTOSAVE.trial,1.8063583815028903,18,47,30.0,0.0
