,index,Name.1,Timestamp[ms].1,Date[MM.dd.yyyy].1,Time[hh:mm:ss.fff].1,Gpstime[ms].1,GnssStatus.1,Lat[wgs84].1,Lng[wgs84].1,Height[m].1,Heading[°].1,Velocity[m/s].1,Velocity[km/h].1,Acceleration[m/s²].1,North[m].1,East[m].1,Distance[m],YawRate[deg/s],vY[m/s],Lateral Distance[m],Forward Distance[m],GeoDistance[m],DistanceFromOrigin[m],Velocity_Status,Velocity_
2688,2701,FBl_26,35724580.0,16.06.2022,09:55:24.580,1339408524580.0,INS_SOLUTION_GOOD,50.2357063858509,14.9297023659348,199.728820800781,275.919471740723,0.835358594108277,3.0072909387898,0.260648378346086,-3.96149016963987,38.4808267582251,0.20437896349772,-0.910702228546143,-0.019795778750783,0.204045063482528,-0.0116778720879573,0.204378963271888,1.72620532268797,Failed,2992.61212781372
2689,2702,FBl_26,35724590.0,16.06.2022,09:55:24.590,1339408524590.0,INS_SOLUTION_GOOD,50.2357063910961,14.9297022497058,199.728576660156,275.90991973877,0.837847420627103,3.01625071425757,0.398491195478164,-3.96090672512347,38.4725344469087,0.204004149668227,-0.995354235172272,-0.0221678914449186,0.203677350870589,-0.0115425184848801,0.20400414944465,1.73440883837749,Failed,3000.5857133793006
2690,2703,FBl_26,35724600.0,16.06.2022,09:55:24.600,1339408524600.0,INS_SOLUTION_GOOD,50.2357063964605,14.9297021331787,199.728302001953,275.900299072266,0.840017590150837,3.02406332454301,0.411823597287527,-3.9603100214693,38.4642208731765,0.20363993115303,-0.966655552387238,-0.0200231615142512,0.203320366806915,-0.0114039427996824,0.203639930931723,1.74263712615948,Failed,3011.6186978100136
2691,2704,FBl_26,35724610.0,16.06.2022,09:55:24.610,1339408524610.0,INS_SOLUTION_GOOD,50.2357064019442,14.9297020162344,199.728210449219,275.89136505127,0.842728106315577,3.03382118273608,0.204243897201981,-3.95970005867735,38.4558775324706,0.203284892855562,-0.765489280223846,-0.0177850360958436,0.202973171386269,-0.0112534115579658,0.203284892636646,1.75089843621234,Failed,3018.255532201299
2692,2705,FBl_26,35724620.0,16.06.2022,09:55:24.620,1339408524620.0,INS_SOLUTION_GOOD,50.2357064076066,14.9297018990517,199.72802734375,275.883712768555,0.844560696280089,3.04041850660832,0.22846776900433,-3.95907020540981,38.4475171817412,0.202947730477025,-0.769465327262878,-0.0169853085452947,0.202643778509604,-0.0111031639284982,0.202947730260461,1.7591818235665,Failed,3024.7234441839923
2693,2706,FBl_26,35724630.0,16.06.2022,09:55:24.630,1339408524630.0,INS_SOLUTION_GOOD,50.2357064133883,14.9297017816305,199.727905273438,275.875854492188,0.845518164211713,3.04386539116217,0.160545508141051,-3.95842709158935,38.4391398212153,0.202621921084475,-0.823724687099457,-0.017104320061907,0.202325631486093,-0.0109536140562214,0.202621920870223,1.76748574187002,Failed,3027.4150855943217
2694,2707,FBl_26,35724640.0,16.06.2022,09:55:24.640,1339408524640.0,INS_SOLUTION_GOOD,50.2357064190507,14.9297016640902,199.727661132813,275.868064880371,0.846795189623686,3.04846268264527,0.136508429297023,-3.95779723761424,38.4307539554507,0.202282730798889,-0.809083342552185,-0.0177264409426863,0.201993327447064,-0.0108165965311293,0.202282730586805,1.77579586278478,Failed,3031.81721005917
2695,2708,FBl_26,35724650.0,16.06.2022,09:55:24.650,1339408524650.0,INS_SOLUTION_GOOD,50.2357064246535,14.929701546371,199.727386474609,275.859443664551,0.848473127926297,3.05450326053467,0.183612754602426,-3.95717401426937,38.422355332509,0.201935968364091,-0.845354914665222,-0.0182289891465174,0.20165298710866,-0.0106868154509529,0.201935968154086,1.78411784427357,Failed,3039.188546413504
2696,2710,FBl_26,35724670.0,16.06.2022,09:55:24.670,1339408524670.0,INS_SOLUTION_GOOD,50.2357064356804,14.9297013103366,199.726898193359,275.842636108398,0.851120030062141,3.06403210822371,0.390898801515099,-3.95594745593252,38.4055155620207,0.201218970019759,-0.857445240020752,-0.018362067853285,0.200947681700097,-0.0104452396929874,0.201218969813701,1.80080156807284,Failed,3050.314279083173
2697,2711,FBl_26,35724680.0,16.06.2022,09:55:24.680,1339408524680.0,INS_SOLUTION_GOOD,50.2357064413428,14.9297011919022,199.726867675781,275.833930969238,0.853946046901452,3.07420576884523,0.252628497297512,-3.95531760337255,38.3970659094625,0.200873464798168,-0.808664739131927,-0.0160852217595326,0.200608091940446,-0.0103219293760064,0.200873464594082,1.80917754627529,Failed,3058.4869556871586
